movieId,title,rating
102684,Only God Forgives (2013),
44849,Renaissance (2006),
67197,Knowing (2009),
2610,Three Seasons (1999),
80736,"Poughkeepsie Tapes, The (2007)",
25866,"Sea Hawk, The (1940)",
4865,From Hell (2001),
1878,Woo (1998),
3042,Meatballs III (1987),
74967,"Mysteries of Pittsburgh, The (2008)",
77780,Virtuality (2009),
97936,Anna Karenina (2012),
8571,Bob & Carol & Ted & Alice (1969),
1200,Aliens (1986),
27376,"Tunnel, The (Tunnel, Der) (2001)",
113364,Rob the Mob (2014),
5076,"Adventures of Huck Finn, The (1993)",
63222,JCVD (2008),
6592,"Secret Lives of Dentists, The (2002)",
5368,Ballad of a Soldier (Ballada o soldate) (1959),
59159,Murders in the Rue Morgue (1932),
3135,"Great Santini, The (1979)",
4371,Baby Boy (2001),
51931,Reign Over Me (2007),
7786,Genghis Blues (1999),
8775,"Counterfeit Traitor, The (1962)",
8614,Overboard (1987),
87522,Larry Crowne (2011),
511,"Program, The (1993)",
67073,Day of the Dead (2008),
1629,"MatchMaker, The (1997)",
2984,On Any Sunday (1971),
89060,Cold Prey (Fritt Vilt) (2006),
71579,"Education, An (2009)",
2450,Howard the Duck (1986),
436,Color of Night (1994),
43652,"Comedians of Comedy, The (2005)",
8807,Harold and Kumar Go to White Castle (2004),5
4585,"Dream Team, The (1989)",
4729,Aberdeen (2000),
71542,"September Issue, The (2009)",
73089,Beyond a Reasonable Doubt (2009),
59429,American Pie Presents Beta House (American Pie 6: Beta House) (2007),3.5
27765,Trauma (2004),
912,Casablanca (1942),4
2473,Soul Man (1986),
509,"Piano, The (1993)",
5718,Carbon Copy (1981),
48268,Empire Falls (2005),
2046,Flight of the Navigator (1986),
6685,Marci X (2003),
37386,Aeon Flux (2005),
108,Catwalk (1996),
4182,Tuff Turf (1985),
74944,Brooklyn's Finest (2010),
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),4.5
294,"Perez Family, The (1995)",
15,Cutthroat Island (1995),
72703,Me and Orson Welles (2008),
52929,Red Road (2006),
68482,XIII: The Conspiracy (2008),
5310,Transylvania 6-5000 (1985),
79590,"Rebound, The (2009)",
8771,Sherlock Holmes: Terror by Night (1946),
4618,Leviathan (1989),
1399,Marvin's Room (1996),
27741,"Twilight Samurai, The (Tasogare Seibei) (2002)",
7195,"Enforcer, The (1951)",
117176,The Theory of Everything (2014),5
62801,Lone Wolf and Cub: Baby Cart to Hades (Kozure Ôkami: Shinikazeni mukau ubaguruma) (1972),
3965,"Strange Love of Martha Ivers, The (1946)",
25796,"Ghoul, The (1933)",
2809,Love Stinks (1999),
2637,"Mummy's Hand, The (1940)",
74530,Percy Jackson & the Olympians: The Lightning Thief (2010),
838,Emma (1996),
1262,"Great Escape, The (1963)",
2141,"American Tail, An (1986)",
87096,Group Sex (2010),
32657,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)",
110611,Cold in July (2014),
4508,Gorillas in the Mist (1988),
3232,Seven Chances (1925),
4225,"Dish, The (2001)",
27366,Werckmeister Harmonies (Werckmeister harmóniák) (2000),
26095,"Carabineers, The (Carabiniers, Les) (1963)",
7478,Swimming to Cambodia (1987),
6934,"Matrix Revolutions, The (2003)",
2067,Doctor Zhivago (1965),
8527,I'll Sleep When I'm Dead (2003),
6560,Loose Cannons (1990),
7846,Tremors 3: Back to Perfection (2001),
3761,"Bound by Honor (a.k.a. Blood In, Blood Out) (1993)",
508,Philadelphia (1993),
39414,Shopgirl (2005),
4586,"Dry White Season, A (1989)",
3448,"Good Morning, Vietnam (1987)",3.5
4517,Lady in White (a.k.a. The Mystery of the Lady in White) (1988),
71057,9 (2009),
69093,Without a Paddle: Nature's Calling (2009),
85213,"Sunset Limited, The (2011)",
1973,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",
2113,Graveyard Shift (Stephen King's Graveyard Shift) (1990),
110102,Captain America: The Winter Soldier (2014),4
824,Kaspar Hauser (1993),
8906,Cannibal Holocaust (1980),
5682,"Grey Zone, The (2001)",
4440,"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",
6104,Monty Python Live at the Hollywood Bowl (1982),
32149,Butch and Sundance: The Early Days (1979),
6638,Valley Girl (1983),
83219,"Pixar Story, The (2007)",
5337,Delirious (1991),
54787,Death Sentence (2007),
3679,"Decline of Western Civilization, The (1981)",
50514,After the Wedding (Efter brylluppet) (2006),
1966,Metropolitan (1990),
162,Crumb (1994),
96832,Holy Motors (2012),
3945,Digimon: The Movie (2000),
8197,Hiroshima Mon Amour (1959),
7920,Desperate Living (1977),
4872,Intimacy (2000),
8446,Sands of Iwo Jima (1949),
26755,Stone Cold (1991),
88005,Laws of Gravity (1992),
47721,"Red Balloon, The (Ballon rouge, Le) (1956)",
45720,"Devil Wears Prada, The (2006)",2.5
3249,"Hand That Rocks the Cradle, The (1992)",
4561,Waxwork (1988),
1371,Star Trek: The Motion Picture (1979),1
6886,Beyond Borders (2003),
3986,"6th Day, The (2000)",
4445,T-Rex: Back to the Cretaceous (1998),
6440,Barton Fink (1991),
149532,Marco Polo: One Hundred Eyes (2015),
120400,Free Ride (2013),
62792,Pride and Glory (2008),
3968,Bedazzled (2000),
116887,Exodus: Gods and Kings (2014),
7647,Noises Off... (1992),
6230,Bang the Drum Slowly (1973),
8257,Battleground (1949),
2120,Needful Things (1993),
33903,"Edukators, The (Die Fetten Jahre sind vorbei) (2004)",
165,Die Hard: With a Vengeance (1995),
1297,Real Genius (1985),
5012,Yentl (1983),
3790,Groove (2000),
2315,Bride of Chucky (Child's Play 4) (1998),
1180,Hear My Song (1991),
4765,L.I.E. (2001),
2804,"Christmas Story, A (1983)",
2528,Logan's Run (1976),
2188,54 (1998),
560,"Beans of Egypt, Maine, The (1994)",
3035,Mister Roberts (1955),
59832,Where the Sidewalk Ends (1950),
5026,"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",
34164,Happy Endings (2005),
953,It's a Wonderful Life (1946),4
6964,Dance with a Stranger (1985),
59022,Harold & Kumar Escape from Guantanamo Bay (2008),3
6210,Volcano High (Whasango) (2001),
67267,Sunshine Cleaning (2008),
26425,"In-Laws, The (1979)",
4963,Ocean's Eleven (2001),
94931,Take This Waltz (2011),
50160,Miss Potter (2006),
1344,Cape Fear (1962),
2119,Maximum Overdrive (1986),
98239,Red Dawn (2012),
46258,Marked Woman (1937),
76244,Glorious 39 (2009),
2735,"Golden Child, The (1986)",
4990,Jimmy Neutron: Boy Genius (2001),3
4043,At Close Range (1986),
7563,"Discovery of Heaven, The (2001)",
70976,"Romance of Astrea and Celadon, The (Les amours d'Astrée et de Céladon) (2007)",
95690,Some Guy Who Kills People (2011),
4632,"Package, The (1989)",
6995,Hercules in New York (1970),
3915,Girlfight (2000),
4957,Sudden Impact (1983),
70656,Harvard Beats Yale 29-29 (2008),
5325,Dogtown and Z-Boyz (2001),
5781,Private Lessons (1981),
321,Strawberry and Chocolate (Fresa y chocolate) (1993),
6238,Green Card (1990),
115174,Love Is Strange (2014),
1956,Ordinary People (1980),
4473,Bat*21 (1988),
5686,Russian Ark (Russkiy Kovcheg) (2002),
7818,School For Scoundrels (1960),
111389,Kid Cannabis (2014),
3130,Bonfire of the Vanities (1990),
781,Stealing Beauty (1996),
410,Addams Family Values (1993),
1671,Deceiver (1997),
83506,Ricky Gervais Live 4: Science (2010),
64990,Pete Seeger: The Power of Song (2007),
4847,Fat Girl (À ma soeur!) (2001),
6643,Tokyo Story (Tôkyô monogatari) (1953),
142488,Spotlight (2015),
5723,Continental Divide (1981),
1645,"Devil's Advocate, The (1997)",
6587,Gigli (2003),
34143,Dark Water (2005),
89753,Tinker Tailor Soldier Spy (2011),
36527,Proof (2005),
3018,Re-Animator (1985),
2240,My Bodyguard (1980),
43684,Something New (2006),
3401,Baby... Secret of the Lost Legend (1985),
66934,Dr. Horrible's Sing-Along Blog (2008),
5544,Time After Time (1979),
4157,"Price of Milk, The (2000)",
3950,Tigerland (2000),
87197,Let the Bullets Fly (2010),
27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",
20,Money Train (1995),
4835,Coal Miner's Daughter (1980),
33126,"Frisco Kid, The (1979)",
3890,Back Stage (2000),
43762,"Mississippi Mermaid (Sirène du Mississipi, La) (1969)",
40491,"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",
44193,She's the Man (2006),
4456,Haunted Castle (2001),
36276,Hidden (a.k.a. Cache) (Caché) (2005),
106220,Aziz Ansari: Buried Alive (2013),5
82141,"Brotherhood, The (1968)",
2331,Living Out Loud (1998),
4397,Cannonball Run II (1984),
8633,"Last Starfighter, The (1984)",
4766,"Our Lady of the Assassins (Virgen de los sicarios, La) (2000)",
115170,"Judge, The (2014)",
81156,Jackass 3D (2010),
2109,"Jerk, The (1979)",
74095,Wicked City (Yôjû toshi) (1987),
1101,Top Gun (1986),3
27801,Ong-Bak: The Thai Warrior (Ong Bak) (2003),
3850,Whatever Happened to Aunt Alice? (1969),
26247,Lawman (1971),
117529,Jurassic World (2015),
8094,Bad Day at Black Rock (1955),
3099,Shampoo (1975),
483,King of the Hill (1993),
87471,"Yoo-Hoo, Mrs. Goldberg (2009)",
1041,Secrets & Lies (1996),
6503,Charlie's Angels: Full Throttle (2003),
